SEX,AGE,score_raw,score_transform
1,30,992.094461105697,855.377090400365
1,30,992.080011237076,855.086249228307
1,30,992.069101007085,854.857372878912
1,40,992.037325084968,854.569045433405
1,30,992.003791563916,854.147853170268
1,30,991.984131447989,853.874946523284
1,30,991.976869217394,853.619868451748
1,30,991.973055815446,853.550526052398
1,30,991.958544199275,853.338532422051
1,30,991.944412425453,853.19036537451
1,30,991.943160792534,853.14440089888
1,30,991.938196351802,853.051895195671
1,30,991.927875439828,852.884906135686
1,30,991.908493783427,852.67709154843
1,30,991.906258488293,852.642976344585
1,30,991.89374604707,852.461816899729
1,30,991.888972199137,852.08416343691
1,30,991.886253597258,851.949920608233
1,30,991.846029387464,851.2499994355
1,30,991.827777198326,850.919895842932
1,30,991.821007695815,850.83204595827
1,30,991.783429873646,850.485297717507
1,30,991.755500142582,849.817252911891
1,30,991.73969097584,849.437203928008
1,30,991.709969415888,849.133499979683
1,30,991.693020069095,848.821645398718
1,30,991.683230859692,848.62262095419
1,40,991.657809916251,848.373685800997
1,30,991.654722556454,848.338112268953
1,30,991.647575467449,848.159045241825
1,30,991.628965270385,847.887708464942
1,30,991.62173075936,847.783558296761
1,30,991.592381838225,847.532472883088
1,30,991.587265231841,847.443403729837
1,30,991.552667586041,847.117331544677
1,30,991.548100839195,846.953391381955
1,30,991.528199672697,846.712528810055
1,30,991.516904763744,846.495302243227
1,30,991.49726078281,846.106452617545
1,30,991.473689268812,845.800663397624
1,30,991.471885953824,845.723783787604
1,30,991.454485310244,845.505746432323
1,30,991.450541072109,845.428452622417
1,30,991.441110028994,845.229590647616
1,30,991.435503778822,845.079312190461
1,30,991.40688098603,844.786575231436
1,30,991.386330799992,844.558926345869
1,30,991.37574962652,844.330255960661
1,30,991.366931800527,844.221119826341
1,30,991.350926721203,844.063160038137
1,30,991.331163567593,843.723357425285
1,30,991.304326554801,843.442490691803
1,30,991.2892708854,843.183240530819
1,30,991.277463153319,843.017979270737
1,30,991.263559217658,842.75601598504
1,30,991.233997772994,842.211736287082
1,30,991.230311990955,842.11573926448
1,30,991.220218100038,841.840071555687
1,30,991.20606726732,841.613387695525
1,30,991.200149913337,841.545926568803
1,30,991.19502461847,841.192012966888
1,30,991.180721317655,841.070826638374
1,40,991.154418248058,840.797216910515
1,30,991.139163018983,840.536261549216
1,30,991.131592819006,840.339100318001
1,30,991.115712771992,840.100881897047
1,30,991.101815797844,839.840047055283
1,40,991.080267837714,839.506102639563
1,30,991.072815049007,839.427636586776
1,30,991.062445850956,839.102959549765
1,40,991.024908667218,838.77298464896
1,30,991.000938885866,838.315410455452
1,30,990.986648118439,838.093150654691
1,30,990.965303875509,837.762223492051
1,30,990.951247397394,837.647630488579
1,30,990.931408536703,837.403449331357
1,30,990.921856364578,837.2338741595
1,30,990.89977977956,837.045702746347
1,30,990.893779065668,836.876888814395
1,30,990.820099813127,836.1961070627
1,30,990.812017581784,836.07048363683
1,30,990.804263144833,835.932553386503
1,30,990.789050912795,835.655176063538
1,30,990.740447962278,834.978517242235
1,40,990.730855322471,834.827834516702
1,30,990.71966248749,834.674768807167
1,30,990.68896201064,834.422444193773
1,30,990.67919103791,834.230750688015
1,30,990.675550886112,834.123180918375
1,30,990.67069235714,834.031038444673
1,30,990.667765468796,833.9791569094
1,30,990.652533717208,833.70502739523
1,30,990.618100053701,833.15709216264
1,30,990.605999672977,832.960496059265
1,30,990.582893220789,832.66894205007
1,30,990.572999077297,832.430278781311
1,30,990.538198869965,832.128853685316
1,40,990.50887245651,831.623577866543
1,30,990.496450264959,831.365789150445
1,30,990.471028844057,831.158275640309
1,30,990.468222525568,831.10678767172
1,30,990.459999435244,830.951600995597
1,40,990.438335081323,830.710313307296
1,30,990.421454688045,830.530669548886
1,30,990.403452027396,830.173580291639
1,30,990.389456300222,829.936580153004
1,40,990.360634211698,829.503304695196
1,30,990.352903004215,829.378184422704
1,30,990.279971805138,828.679731034409
1,30,990.268658260763,828.43499994813
1,30,990.243043444191,828.138315749598
1,40,990.2373554651,828.002317987366
1,30,990.21495092805,827.677395202586
1,30,990.203121985614,827.493129222111
1,30,990.193026914496,827.295895196134
1,30,990.166451205552,827.054689488164
1,40,990.155016242058,826.893759500002
1,40,990.128773742122,826.441825137706
1,30,990.106349177147,826.213794097538
1,40,990.080018861441,825.940272692855
1,30,990.058746298057,825.569431599831
1,30,990.047216713265,825.246507850846
1,30,990.017190448577,824.967534888145
1,30,990.016328784908,824.931942803599
1,30,990.00287416579,824.714362328483
1,30,989.994523499577,824.593096175192
1,30,989.933266134604,823.987541402702
1,30,989.912868290623,823.745372235853
1,30,989.911158836325,823.669931649875
1,30,989.898988848949,823.579452539396
1,30,989.893027486564,823.506923994705
1,30,989.873748196397,823.324604426332
1,30,989.857694995982,823.126158894393
1,30,989.844024618534,822.935335304794
1,30,989.829633585638,822.623522144061
1,30,989.805344375258,822.395564215799
1,30,989.784037621801,822.202403149651
1,30,989.776098889116,822.03253183944
1,40,989.746695884469,821.580020255714
1,30,989.725800306305,821.30630017791
